,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
ZFX,7588,6104,3688,4511,4968,4303,5474,5835,3526
LAMP2,38719,33910,16490,23801,23923,17302,28037,29766,16254
ITGA2B,404,333,149,197,254,144,258,430,209
ASB4,0,0,0,0,0,0,0,0,0
GDE1,5596,4743,2469,3367,3315,2628,3964,4229,2374
REX1BD,211,205,102,163,163,139,138,170,100
CRLF1,174,104,61,89,100,85,138,64,103
OSBPL7,1017,957,417,658,696,581,769,912,503
TMEM98,1820,1484,1827,1095,1143,2050,1273,1683,1832
YBX2,5,5,1,4,0,9,6,0,8
KRT33A,0,0,0,0,1,0,0,0,0
MAP3K14,5583,5369,1993,3725,3972,2527,4037,5547,2681
ABCC8,12,0,2,8,6,2,2,2,5
CACNG3,0,0,0,0,0,0,0,0,0
TMEM132A,2709,2734,2056,1996,2004,2561,2285,2752,2198
AP2B1,30893,26690,34323,18881,18451,37158,22280,24740,33556
TAC1,0,0,0,0,2,0,0,0,0
ZNF263,1888,1616,979,1200,1292,1176,1372,1311,869
CX3CL1,2,0,0,0,0,0,1,2,0
SPATA20,3185,3492,1513,2212,2743,1925,2466,3077,2084
CACNA1G,74,37,7,43,41,13,69,56,14
TNFRSF12A,4711,4453,2856,3081,3878,3531,3704,2992,2561
DLX6,0,0,0,0,2,4,1,0,2
MAP3K9,1124,895,252,642,573,344,789,846,223
RALA,20853,17630,7003,12178,12208,7507,14895,12211,5431
BAIAP2L1,954,725,625,549,567,839,672,687,591
KDM7A,860,663,659,530,440,785,526,605,569
ETV1,1283,600,6,673,482,9,789,776,20
AGK,6017,5245,4823,3627,3877,5384,4151,4049,4094
ALDH3B1,465,469,266,328,368,283,368,553,215
TTC22,7,4,1,9,4,1,4,0,1
PHTF2,14726,13594,12762,9073,9741,13232,10683,9574,10772
CCL26,160,201,465,96,121,533,127,69,283
FARP2,1829,1611,3903,1095,1241,4212,1321,1390,3593
USH1C,0,0,0,0,0,1,0,0,0
GGCT,4176,3915,1324,2629,2978,1476,3251,2580,1178
DBF4,5959,5228,4779,3656,3851,5109,4494,3957,4337
TBXA2R,126,124,138,83,89,192,120,120,141
IFRD1,1372,1584,1428,962,1214,1630,1113,772,960
LGALS14,0,0,0,0,0,0,0,0,0
COX10,1980,1604,892,1226,1206,1041,1477,1417,827
GTF2IRD1,1219,1079,898,754,877,1119,885,1018,907
PAF1,8200,6929,4154,5011,5270,4969,5863,5898,3846
VPS41,10110,8384,2902,6109,5734,3026,7228,7665,2662
ARHGAP44,1048,813,352,618,577,402,730,894,336
ELAC2,9587,7603,4701,5836,6033,6020,6567,6021,4082
SCIN,14,17,3,6,7,6,11,10,5
