,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
LIPE,253,282,122,161,207,139,173,243,174
FDFT1,8048,7511,5333,5163,5575,6215,5797,6838,6107
PAFAH1B3,1188,1214,907,817,1005,1082,880,1120,1159
OPHN1,2813,3029,2373,1815,1969,2431,2261,2353,1839
AFM,0,0,0,0,0,0,0,0,0
KIF22,7478,6844,2931,4938,5159,3387,5509,5807,3046
SCGN,0,0,0,0,0,0,0,0,0
CARMIL1,1399,1231,1078,982,986,1237,1173,1398,1012
PGM1,3595,3086,2312,2190,2293,2815,2536,2947,2467
DDX1,11490,10044,13205,7205,7459,14669,8176,7320,11498
DNM2,11340,10145,6322,7070,7863,7653,7929,8993,6077
EPB41L2,38439,36351,12539,23330,24043,13490,27622,28867,12424
RIMS1,61,61,0,44,51,3,43,37,5
MOXD1,2365,2195,821,1455,1323,721,1734,2625,1300
STX7,14357,12000,5607,8539,8488,5779,10326,10026,5205
RABL2B,1060,923,687,652,705,654,756,886,591
KEAP1,5406,4214,2034,3091,3506,2757,3515,4037,2177
DDX43,10,15,5,7,14,26,5,8,17
PTPRH,463,408,401,290,275,448,354,374,350
DCT,2,2,1,0,2,2,1,3,5
SLC35C2,3550,3404,1544,2266,2717,1951,2852,3120,1838
CRYBG3,4553,3439,2130,2778,2848,2720,3232,3112,2009
EPHA6,0,0,0,0,0,2,0,0,1
SCTR,0,0,1,0,0,0,0,0,0
RFX3,955,816,605,564,540,613,678,902,639
RIF1,19311,15883,8534,11258,12112,9829,13760,12881,7865
RAB21,10991,9331,4928,6812,7361,5686,7948,7880,4151
SLC4A4,703,630,9,412,575,31,540,567,24
SMARCA2,6686,5368,5914,4005,4075,6517,4758,5430,5992
RDH8,2,0,0,0,0,0,0,0,0
SESN1,1454,1287,544,1050,967,564,1199,1446,521
MID2,1992,1584,734,1182,1063,830,1380,1425,562
DNAAF6,9,9,2,4,2,2,4,2,0
COL5A3,296,552,27,173,349,15,209,312,14
SRCAP,679,649,219,429,497,259,458,543,231
PUM3,3265,3019,3464,2073,2377,4063,2447,1897,2873
CPB2,6,6,5,6,4,1,7,5,4
CHRNA3,206,176,37,112,138,97,152,123,58
KCNN2,4,6,32,6,11,62,0,4,44
CNOT4,3864,3221,2736,2434,2500,3312,2773,2809,2605
PSEN1,6676,5561,1606,4183,4197,1851,4899,5636,1658
CPOX,5373,4167,2847,3276,3294,3149,3794,3402,2618
CLDND1,11898,9522,5299,7102,7121,5640,8613,9546,4717
MOK,3417,2803,1750,2046,2116,2148,2382,2503,1632
HSP90AA1,333783,235298,108168,200811,202966,136692,240144,193269,90288
RBL1,15268,13527,7210,9174,10474,7832,11268,11503,6423
DLGAP4,7749,7772,5968,5076,5680,7563,5663,5558,5552
IGSF9B,568,502,402,322,364,540,420,498,473
CFHR2,0,0,0,0,0,0,0,2,0
CROCCP3,245,195,126,166,182,117,143,228,146
NDC80,32387,25424,13796,19460,18989,14919,22780,21702,13427
AP4E1,9793,8807,4215,5782,6154,4611,7020,6426,3530
RSBN1,3224,2655,1663,1824,1876,1827,2325,2227,1558
MAGI3,2298,2032,2485,1406,1501,2708,1717,1659,2301
CXCL2,50,36,22,30,26,28,58,49,20
AFP,47,27,99,19,51,82,41,10,60
COL4A4,248,245,64,178,163,66,219,268,64
TCF7,134,121,199,71,98,233,83,128,230
OSTM1,17731,15421,3680,10868,11387,4184,12987,12473,3081
CDH7,0,0,0,0,0,0,0,0,1
IMPG2,77,97,65,54,47,46,55,66,57
PCNP,41004,35038,23545,24313,25509,24560,29634,27585,21355
EXD2,4751,4041,1784,2961,2955,2052,3522,3681,1794
ARG2,1910,1319,455,1076,1039,461,1376,1161,460
MEF2C,6,0,0,2,4,0,1,2,0
PTPRC,82,66,2,31,31,7,50,61,1
CACNA1S,0,0,0,0,1,0,0,0,0
PKP1,1,0,0,0,0,0,0,0,0
UBA5,5375,4827,3411,3280,3568,3754,4115,3533,2956
STK17B,5561,5086,4366,3442,3499,4853,4106,4554,3938
CDC14B,3509,2770,1872,2039,1987,2330,2593,2702,1758
ZNF510,4052,3300,2448,2291,2322,2869,3014,3001,2397
LRP2,8,1,1,3,4,0,0,4,0
ZNF506,105,100,83,61,50,69,52,61,63
JMJD4,299,299,182,209,258,217,251,298,221
DUSP12,1475,1263,1109,874,1142,1184,981,970,834
AACS,5020,4400,2399,3118,3200,2763,3798,3830,2365
DELE1,5358,5020,3995,3384,3447,4696,4096,4603,4296
SLC13A1,0,0,0,0,0,0,0,0,0
CADPS2,137,78,6,63,65,0,107,102,6
PCDHB4,450,364,112,291,230,85,292,436,112
PCDHA6,1,0,1,0,0,0,0,0,0
PCDHGA2,43,37,17,19,15,22,35,34,29
HSPB11,5234,4356,3438,3133,3056,3608,3872,3726,3078
PHLPP1,2611,2404,1948,1573,1774,2311,1869,1839,1657
ATP8B1,10303,10182,13628,6094,7231,14174,7032,6927,10779
IL12RB2,20,21,34,20,23,51,26,15,28
SMARCD3,749,825,413,464,574,538,515,822,558
WDR70,8806,7827,4667,5352,5799,5184,6225,7199,4523
FYB1,20,13,1,12,7,4,11,28,3
MPP4,618,468,417,310,409,567,378,379,398
STRADB,2935,2346,1968,1779,1681,2113,2041,2041,1836
BZW1,44984,36560,34063,27218,27121,36757,31233,28044,30284
PGR,227,232,0,184,153,0,186,215,0
C1QTNF3,244,224,134,132,110,111,156,203,100
ME2,7073,5834,2839,4504,4467,3155,5317,4675,2345
C5orf22,21916,18974,7566,13334,13002,8235,15536,15419,6960
CCNT2,3099,2902,1638,2063,2167,1951,2249,2327,1530
FAM135A,2490,2227,1010,1571,1457,937,1799,1929,958
COL19A1,0,0,0,0,0,2,0,0,0
EPB41L3,0,0,0,0,0,0,1,0,0
COBLL1,550,501,202,327,310,257,411,362,163
DLG3,2458,2003,1359,1579,1595,1364,1759,2084,1160
KCNK2,279,240,145,136,189,127,182,280,113
SERTAD4,2009,2150,834,1349,1436,769,1510,1707,625
TRAF5,2380,2470,1302,1622,1526,1390,1741,1792,981
MRPL22,4739,3949,4745,3133,3019,4987,3423,3235,3982
GEMIN5,4871,4176,5063,2805,3081,5984,3475,2966,4114
OPRK1,0,0,0,0,0,0,0,1,0
NFE2L1,28915,22449,14669,17144,16550,17520,19624,21276,14441
SEMA5B,2,4,3,5,9,0,2,7,0
GSK3B,18987,17630,11731,11445,12601,12882,13959,13869,10155
ITGB5,8101,6138,2327,4969,4334,3264,5838,7242,3236
ERC1,15797,14176,9851,9830,10296,11742,11639,12673,9095
XPO1,61813,48951,46261,37530,36745,49403,44442,42938,45194
LINC01587,8,13,8,7,6,5,4,7,2
RNF13,2803,2364,1714,1650,1710,1990,1947,2241,1650
TRPM3,102,123,161,64,74,132,89,96,103
PALB2,2922,2304,1348,1749,1966,1531,2065,2047,1296
DOP1A,2494,1954,1647,1491,1662,1912,1810,1780,1390
LYRM2,12930,10163,5367,7633,7939,5722,8999,8633,4911
BCKDHB,3370,2614,967,1950,1812,945,2225,2678,1098
KAT6A,11292,9656,6614,6818,7449,8141,8174,8565,6220
TUT7,4290,3549,3262,2652,2752,3578,3294,3051,2706
ULK2,4220,3446,1627,2424,2428,1735,2812,3477,1439
GRHL2,1,0,3,0,0,0,0,0,1
TNPO1,67854,56240,53196,40474,42032,56892,48238,44241,46596
PLOD1,15236,12414,5657,9410,9456,7195,10809,12029,6143
P2RX5,626,579,295,422,483,376,547,418,243
ITGAE,5620,4842,2270,3332,3572,2319,4103,3779,2076
DIS3,9497,7764,3450,5898,5941,3640,6900,6153,2938
PIBF1,2321,1951,918,1270,1274,1102,1668,1625,959
TDRD3,1314,1109,579,796,888,644,950,898,536
NUFIP1,2286,1949,1039,1444,1556,1238,1677,1410,915
PDS5B,14513,11484,4324,8714,8352,4657,9869,10123,4207
OXCT1,29858,27296,16183,18627,21688,17831,22556,21203,14676
RRAGB,1319,1179,457,848,779,505,887,1110,452
EPYC,0,0,0,0,1,0,0,3,0
CYLD,11602,9845,5094,7201,7513,5764,8668,8171,4514
SLC27A5,16,26,12,16,29,19,27,8,20
ZNF324,1217,1230,528,759,887,577,826,955,437
ZNF671,260,216,485,161,164,556,166,203,440
ZNF416,593,618,442,370,416,537,443,503,413
ZNF586,848,709,534,539,544,564,678,622,402
ZNF446,372,329,107,199,258,122,267,289,121
ZNF264,3511,3361,2169,2266,2314,2529,2549,2865,1801
RPS5,24150,19201,8865,14276,14967,9996,15971,21055,9584
FAT1,26336,24909,13389,16713,17978,17149,18820,17711,10973
YTHDC1,11219,9425,5984,6578,6825,6784,7733,8171,5326
CHMP2B,11183,10156,2980,6768,7155,3026,8033,7657,2345
SMAP2,2826,2473,2964,1674,1837,3538,2022,1967,2588
PPIE,6335,5349,3608,3960,4092,4245,4342,4793,3434
ZMPSTE24,14422,12465,7423,8579,9428,8261,10224,8237,6112
STARD7,27993,23385,19985,16511,16980,22664,19286,19273,17481
NOA1,1947,1585,777,1266,1236,1027,1368,1595,913
REST,15957,13760,7898,9384,9735,9012,11403,11160,7117
HAL,15,17,15,8,6,7,2,8,5
SSH1,11372,10157,4832,6838,7337,5554,8020,8196,4076
GSTP1,12969,14948,7436,8669,10604,9116,9933,10999,8977
APLP2,29275,23724,31787,17481,16766,35870,20908,22800,31424
FAM234B,2438,1907,1145,1458,1386,1179,1686,1904,1091
SLCO1A2,1,2,2,1,1,3,0,3,8
WBP11,17556,14846,10150,10867,10570,11835,12280,11646,9177
EIF3I,31364,24774,16648,18693,18597,18967,20898,19503,14595
NKAIN1,40,34,75,48,39,116,40,26,63
COL16A1,2435,2670,363,1835,1972,517,1971,2605,416
TXLNA,15783,13164,9526,9473,10312,11658,10791,13103,9909
APOB,0,0,0,0,0,0,0,2,0
NCOA1,3781,3310,3914,2289,2323,4388,2626,2938,3686
AGBL5,4098,3746,2960,2675,2488,3053,2782,3415,2999
EFR3B,256,201,760,184,192,796,237,202,714
KIF3C,3943,3640,3978,2371,2410,4866,2835,3155,3908
RAB10,19507,17410,17567,11783,12674,18994,13993,14357,15704
GCKR,3,1,5,0,0,6,3,2,6
HADHA,19504,17210,21211,11775,12116,22968,13823,13900,19905
MAPRE3,1035,882,1213,676,598,1474,744,759,1174
CAD,7416,7489,6745,4713,5325,8350,5455,5709,6546
CD59,60960,44983,37798,33664,32104,42099,40598,46019,36783
CD82,4749,3391,1041,2950,2594,1327,3576,4708,1886
BCORL1,2469,2397,629,1646,1491,780,1996,2296,744
ATRX,11,9,7,3,3,5,2,2,0
AK6,4234,3574,4594,2602,2660,5388,3001,2397,4167
FCN1,0,0,0,0,0,0,0,0,0
MYNN,1949,1562,981,1164,1194,1012,1395,1316,786
MECOM,294,247,4,196,155,11,245,229,4
SCAMP1,11813,10022,9006,6974,6828,9678,8473,9389,8833
PREP,6502,5563,3817,4176,3827,4057,4767,4512,3263
HACE1,4063,3489,1727,2523,2419,2027,3004,3387,1643
SEH1L,17266,14821,7336,10214,10992,7843,12441,12187,6278
WDR47,3256,2848,2013,2080,2279,2171,2434,2444,1652
WDFY1,12397,11484,12225,7533,7520,13013,9006,9034,10719
OVGP1,43,29,41,24,28,64,29,41,29
SLC25A24,16318,14423,10516,9807,10183,11028,11570,9980,9652
MAP3K4,5084,3898,2330,3164,2891,2800,3577,3587,2118
PILRA,18,21,6,8,16,21,7,22,9
IGSF9,16,3,1,16,21,5,6,13,6
ABCB1,54,37,3,44,29,0,39,33,0
ZNF213,316,320,127,213,221,228,248,269,154
AKR1B1,16216,12721,5123,9868,9692,5480,11457,13504,5298
CPNE3,11699,10282,6126,7002,7093,6916,8243,8739,5456
RRN3,5122,4273,3130,3199,3350,3137,3520,3167,2299
CTTN,24852,24116,22373,15667,17103,26510,18239,20331,21876
WNT11,19,16,1,17,15,8,15,31,3
MTIF2,5056,4119,3913,3075,3122,4586,3588,3507,3370
DDHD2,10073,10284,6570,6220,6055,6591,7322,7526,5415
TTC39A,26,13,24,9,13,34,22,19,8
EPS15,10996,9502,6747,6658,6436,7127,7648,8350,6504
ORC1,4370,3995,2360,2635,2809,2938,3078,3116,2241
MGST2,1067,705,315,609,593,285,696,800,290
CHERP,2495,2525,994,1669,2085,1339,1756,2182,1279
ATG16L1,3448,2701,2496,2045,2128,2961,2468,2308,2240
USP40,6161,5296,3141,3958,4051,3778,4528,4306,2974
POMGNT1,5837,4913,2843,3674,3897,3463,4034,4481,2338
RAD54L,3522,2716,2137,2205,2055,2275,2293,2766,2003
MAST2,7816,7175,4895,4973,5145,5799,5731,6191,4672
DNAJA1,38860,29826,26680,23665,24513,30741,27453,23323,23642
B4GALT1,6678,5304,4358,3867,3616,4886,4833,4957,4175
CHMP5,9691,7975,6731,5809,5631,7040,6694,6325,5976
NFX1,3991,3265,3012,2200,2500,3463,2692,2687,2622
AQP6,28,38,19,18,38,21,19,19,14
DIMT1,2579,2398,2568,1694,1921,2753,1957,1651,1768
IPO11,9409,7967,6097,5639,6327,6968,6922,6548,5697
FOLH1,0,0,0,0,0,0,0,0,0
EIF2AK1,12713,11176,5512,7796,7653,5876,9394,9054,5003
NME8,0,0,0,0,0,0,0,0,0
EPDR1,2786,2173,328,1755,1625,342,2074,2010,284
SNX10,0,0,0,0,0,0,0,0,0
SEPHS1,8676,7621,6031,5392,5793,5986,6299,6121,5612
MRPL28,1837,1869,851,1190,1614,1077,1424,1556,1000
HBQ1,0,0,0,1,0,0,0,0,0
ITPKC,699,598,157,449,434,204,444,541,223
CEACAM6,0,0,0,0,1,1,0,3,0
FAT2,55,79,47,26,40,74,65,49,65
RBM22,6435,5040,4615,3985,3934,5409,4475,4421,4205
TMED2,39519,33275,14171,23902,24668,16196,28525,24553,12301
ERO1B,766,662,346,497,517,408,557,639,351
ZFAND6,9883,8329,4391,6003,5783,4660,7255,7092,4035
HSD17B2,11,0,5,2,1,1,4,3,4
TXLNG,4344,3677,2579,2685,2878,2996,2959,3132,2381
PPEF1,0,5,0,0,1,0,1,1,1
LAT2,122,130,122,84,89,165,85,105,132
HUWE1,43378,34913,26843,25487,26167,34187,29100,30353,24232
ZW10,4661,4235,4184,2894,3111,4478,3381,3035,3544
ALG9,1718,1535,1486,992,1167,1543,1185,1206,1206
MYBPC2,2,0,0,0,2,0,3,0,0
NOX4,7,6,0,4,3,6,6,7,0
ACOX3,2149,2290,1363,1481,1521,1590,1542,1661,1232
MTMR2,7276,7123,6749,4541,4752,7400,5574,4938,5501
PPP1R15A,5158,5132,3371,3290,4827,5200,3948,4040,3237
HSD17B14,192,182,115,86,135,113,121,189,138
TRIP6,3117,3291,1971,2118,2374,2392,2483,2694,2148
ACHE,55,47,28,26,46,24,29,43,18
FTL,108595,81377,38812,65098,63095,46516,74798,84819,46178
SRRT,10282,9169,5809,6473,7256,7217,7489,7474,6178
BAX,5289,4490,2183,3318,3712,2626,3802,4848,2807
NLK,3422,3417,2353,2215,2282,2613,2616,2392,1952
PIGS,3639,3175,2516,2261,2060,2736,2552,3079,2371
ADAMTS2,242,356,1090,189,250,1149,206,296,1051
TMPRSS11E,0,0,0,0,3,0,0,0,0
ATXN7L3,5880,4698,2652,3661,3700,3152,4188,4405,2448
PGS1,1703,1434,753,1003,1078,763,1235,1372,735
PSMC5,17733,15288,12687,10995,11389,14306,12203,11958,10861
UIMC1,5409,4156,3056,3171,3281,3748,3611,3394,2874
CETP,20,33,5,24,16,7,14,29,8
MMP2,11880,7822,408,7809,4772,384,8792,14231,582
MT3,0,0,0,2,0,0,0,1,0
LPCAT2,11,9,13,4,6,15,9,31,15
GNAO1,5149,5626,1604,3340,3588,1652,3480,4110,1370
OGFOD1,7961,6908,4444,4919,5128,5083,5734,5128,3668
SH3BP2,6837,5510,1279,3912,3865,1452,4856,6531,1512
NOP14,5014,4284,1882,2976,3588,2296,3654,3275,1727
ADD1,32855,28568,11438,20296,19880,13056,23260,23941,10982
L2HGDH,4207,3699,2659,2473,2465,2752,2976,2990,2363
TXNDC16,3156,2724,1487,1911,1853,1489,2442,3360,1681
RTRAF,17446,15755,15387,11175,11855,17356,12976,12067,13802
NID2,1176,721,236,709,613,263,806,983,348
GMCL1,3833,3320,2702,2394,2342,3095,2869,3133,2924
SF3B2,21980,18915,14393,13246,14149,17653,15433,16114,14228
KLHL42,11660,10274,4533,6871,7698,5279,8448,9228,4159
GNAS,100976,84916,57959,62830,59716,65275,69626,78332,55466
DNM1L,17359,14685,11587,10939,10837,12876,12475,11158,9900
PTHLH,369,260,239,249,200,334,269,225,233
PHACTR3,9,3,1,1,1,2,0,4,3
ERGIC2,13932,10742,7793,8513,8060,8530,9631,8825,7324
TFAP2C,0,0,0,0,0,0,0,0,0
AURKA,26685,20560,14378,15529,15282,16027,17936,16866,13889
CASS4,34,21,40,16,17,64,19,19,29
PIR,234,217,201,125,155,194,152,218,178
AAMDC,1950,1603,2835,1138,1242,3331,1336,1432,3611
RFX2,603,642,419,436,433,501,433,601,488
METTL2A,3151,2827,1656,2000,2364,1818,2416,2408,1541
SULT2B1,0,6,1,5,3,3,6,6,2
ALG6,1679,1468,774,1112,1066,912,1156,1353,688
CNOT3,2775,2249,1278,1624,1920,1722,2062,2108,1336
GP6,1,4,2,2,1,4,3,3,5
PTPN4,3175,2674,2376,1782,2000,2746,2156,2132,2128
DDX18,16633,13770,12555,10270,11008,14180,11904,9823,10584
KHSRP,16495,14962,9580,10357,11777,11431,12009,13273,9651
GNA11,8549,8156,4567,5383,6182,5444,6120,7378,4396
ASAP3,999,787,492,597,621,592,703,910,649
EDEM2,2826,2128,1048,1732,1669,1142,2236,2273,1183
DNMT3B,929,828,629,539,530,639,649,749,655
REM1,0,0,0,0,0,0,0,1,0
TPX2,50368,42130,33654,30512,29884,37698,35321,34809,32322
FER1L4,140,77,23,58,65,29,80,123,34
PDRG1,9217,7336,3788,5561,6064,4523,6433,6342,3479
EPB41L1,7458,6471,5801,4688,4544,6238,5378,5811,5620
SLC15A1,7,5,0,3,5,0,0,0,0
DOCK9,7001,5544,2452,4290,4316,3076,4728,5270,2352
ANKRD10,4627,3713,1003,2801,2730,1259,3260,3084,999
TGDS,1245,1056,485,692,739,521,913,843,374
DOCK3,830,633,108,434,434,135,502,627,155
C3orf18,1814,1590,492,1072,1200,598,1320,1474,561
COQ9,1811,1508,497,1179,1165,656,1402,1486,516
TMEM40,488,599,122,262,255,99,357,782,73
KIF9,556,409,245,303,310,236,372,359,202
ARHGAP28,1388,1602,596,894,983,508,1150,1108,545
CRLS1,192,146,133,93,110,120,115,131,102
DEFB127,0,0,0,0,0,0,0,0,0
PPP1R13B,1681,1379,653,1064,1087,852,1237,1415,747
ATRN,14697,12925,8502,9295,8812,9466,10510,11632,7766
SMOX,851,623,307,493,523,391,568,528,356
SIGLEC1,1,0,1,7,3,5,0,4,3
FKBP1A,38418,31516,27754,23806,22815,31371,26937,26030,25888
NSFL1C,7392,6765,6897,4657,5142,7834,5080,5226,5916
SLC4A11,508,404,159,347,399,204,346,470,219
DNAAF9,4803,3945,4003,3036,2756,4662,3463,3672,3883
ZNF343,1468,1126,1002,863,931,1033,1035,1001,933
EBF4,83,107,32,63,111,61,108,175,53
CPXM1,6,4,234,6,3,239,7,3,267
MAVS,36211,30874,21686,21875,22490,24866,25904,30203,21801
LZTS3,1671,1847,1212,1121,1283,1510,1366,1547,1300
F11,0,0,0,0,0,0,0,0,0
XRN2,21686,18045,15932,12653,13315,18057,15065,14427,14892
KIZ,1300,1122,1016,754,809,1150,852,975,1012
DYNLL1,29538,25011,15850,19121,20057,19182,22545,20476,16847
TESC,1,3,0,0,3,0,0,1,0
SNX5,13203,10955,9524,7944,8139,10711,9121,8703,8151
RPL6,75117,60483,35362,45275,47931,38546,52143,45138,29778
SIRPG,11,2,14,6,3,9,1,5,4
MAPKAPK5,3992,3334,1128,2558,2585,1527,2790,2862,1028
P2RX7,887,707,310,549,595,378,613,832,470
ESF1,6673,5534,4747,4074,4319,5329,4706,3908,3763
RBBP9,5685,5150,4689,3625,3545,5056,4000,4558,4048
ANAPC5,12007,10523,4772,7427,7396,5284,8400,9135,4574
SLC23A2,5733,4918,3081,3528,3566,3631,4077,4628,3029
SLC8B1,2253,2053,834,1450,1511,1109,1824,2221,1155
TMEM230,13633,11156,8956,7924,8079,9648,9635,9968,8864
DZANK1,738,591,529,440,497,635,530,463,564
KDM2B,5946,5250,1874,3634,3857,2247,4246,4515,1966
CFAP61,12,6,11,6,9,9,9,11,35
LHX5,2,0,0,0,0,0,2,2,0
TASP1,1303,1143,939,770,793,970,959,1042,772
OAS1,151,113,42,109,60,22,107,201,67
GCN1,18653,16636,6237,11637,12512,8155,13330,13184,6237
RPLP0,124698,112223,53438,74641,81986,61869,87263,80920,49306
PXN,10877,9485,4873,6594,6744,6252,7552,6737,4889
SIRT4,159,114,70,90,73,68,131,126,78
RPH3A,4,3,2,3,3,2,0,0,2
KIF16B,3006,2348,2334,1716,1723,2597,2143,2124,2052
TRMT6,4523,3519,3569,2584,2941,4165,3021,2598,3194
CHGB,10,11,9,7,13,11,5,16,12
PEBP1,27475,24445,11969,16818,17482,12556,19487,19372,10792
TBX5,2,0,0,0,1,0,6,4,0
BRAP,3998,3373,1336,2460,2585,1642,2831,2979,1313
ERP29,17962,14476,6261,10624,11514,7206,13664,13777,6956
NOS1,1,0,1,0,5,0,1,0,0
FUS,78895,68606,41283,48871,50722,47209,54160,60469,36379
IGBP1,4711,3738,2756,2720,2669,2988,3289,3771,2526
FXYD5,7396,6618,4008,4418,5044,5066,5274,5045,3851
ZNF302,3069,2398,2118,1951,1738,2251,2381,2252,2054
GRAMD1A,1126,1038,521,685,716,675,857,967,513
FXYD3,0,0,0,1,0,4,0,0,0
HEPH,0,1,0,0,0,0,0,0,0
CDIP1,1708,1469,1160,993,1114,1226,1193,1266,1092
CMTM1,146,136,45,129,109,50,107,183,48
KCNH4,2,2,0,1,0,10,0,1,1
GANAB,79461,68444,52233,48288,48837,59555,56366,62302,52251
GMIP,1130,1018,538,736,726,691,696,875,549
RBM41,6270,5257,3293,3814,3659,3595,4363,4520,2925
BIRC5,17898,14950,10892,11272,11522,11749,13266,13921,11178
LAG3,88,128,22,91,93,35,78,106,35
MLF2,13887,12043,6451,8978,9179,7793,10240,10218,5941
OTUB2,212,136,30,122,89,42,149,112,50
DDX24,11797,9234,4706,6882,7305,5522,8238,7934,4056
ZBTB25,2505,1920,908,1401,1590,1326,1770,2136,986
NECAP1,3811,3338,2371,2294,2403,2505,2757,2593,1936
ARHGAP4,24,30,4,13,22,8,12,23,4
ANKRD24,15,9,1,15,20,6,13,9,6
DHX32,2978,2308,1169,1726,1631,1152,2082,2067,1047
RCOR1,8429,6954,2500,5167,5243,2828,6201,5973,2343
GPATCH2L,4880,4372,1505,2976,2982,1678,3549,3881,1335
LTBP4,1474,1645,382,946,1221,555,1169,2108,693
BLVRB,562,636,252,355,544,380,416,671,345
SLC9A1,3104,2710,1612,2114,2137,2418,2284,2630,1965
SPTLC1,13888,11205,7980,8270,8705,9132,9696,9418,7249
PAPOLA,35759,29826,6896,21504,21577,8030,26209,24239,6084
CCNK,3719,3283,1705,2251,2309,2124,2508,2577,1515
PCBP4,3308,3386,2048,2194,2510,2369,2349,2689,1971
RGS1,0,0,0,0,0,0,0,0,0
YPEL3,8,6,0,3,1,4,3,1,1
MRPS33,4103,3056,3540,2402,2568,3850,3117,2853,3077
NDUFB2,5122,5087,3153,3393,3881,3866,3918,4417,3820
NUDC,8744,7639,5035,5408,6141,6555,6379,6717,5021
MAEA,5011,4755,1246,3155,3743,1642,3700,3569,1299
ICAM1,2619,2091,387,1413,1521,563,2030,2712,491
STRN4,4449,4869,1719,3033,3795,2365,3585,4361,2038
IRAK3,1727,1339,715,1094,1031,947,1422,1478,796
LYZ,12,8,0,3,5,0,4,7,2
SI,0,0,0,0,0,0,0,0,0
MUL1,3233,2579,1644,2078,2260,2122,2378,2666,1665
TFAP4,352,365,163,204,301,229,300,314,226
PDCD7,4128,3181,1433,2367,2622,1647,2976,2973,1443
SPG21,8866,7250,3876,5604,5260,4270,6104,6388,3712
FETUB,0,0,0,0,0,0,2,0,0
DNAJB11,3892,3578,2622,2544,2681,3017,2935,2538,2257
P3H2,1842,1225,2006,1045,864,2280,1258,1461,2061
THPO,0,0,3,0,1,1,1,0,0
CHRD,16,21,10,7,4,4,17,14,13
FLT3LG,124,166,43,72,99,41,122,162,85
RAB11FIP3,2140,2174,1006,1360,1621,1254,1606,1988,1164
GNPTG,979,997,361,699,786,412,754,1133,468
ZNF268,5408,4588,1619,3234,3397,1868,3781,4156,1363
GOLGA3,11723,10255,5127,7326,7962,6514,8370,8464,4847
PABPC4,9951,8989,6638,6232,7138,8174,7082,6877,5858
CD209,1,0,0,0,2,0,1,1,0
CERS4,291,206,211,171,226,278,254,243,268
MCOLN1,1211,1049,440,751,830,519,875,988,484
USP48,10880,9041,6359,6709,6397,7033,7833,8236,6186
EFNB1,319,265,172,240,218,264,214,308,241
PDPR,14231,11998,5422,8500,9041,6073,9944,10377,4907
AARS1,13382,11071,5716,8098,8635,7068,9728,10987,5590
GLG1,30286,23561,9316,18399,17373,10579,21233,24235,9839
KIF4A,19310,16160,12444,12115,12208,13684,13782,14254,11856
TNRC6A,9446,7817,6148,5550,5432,6983,6539,6132,5540
PLEKHG2,2225,2228,954,1397,1637,1198,1598,1710,920
DLL3,34,31,54,33,27,54,24,22,61
NAT14,2548,2313,872,1661,1731,1011,1791,2555,1024
PITPNM2,895,783,513,584,579,763,665,647,583
EXOC1,6499,5421,3145,3929,3958,3570,4779,4812,2964
RBM27,6798,5595,4797,4384,4144,4970,4946,4446,4032
POU4F3,13,15,6,5,5,9,6,14,8
OSBPL8,29089,27612,17069,17652,18834,18703,21324,19962,14287
DTX2,404,363,158,274,299,210,398,403,222
NLRC4,27,25,35,17,21,54,16,24,35
PUS7,3252,2731,2463,1950,2072,2622,2276,1839,2033
LAMB4,18,18,21,12,9,23,5,8,19
NRCAM,67,81,13,30,35,11,68,62,11
LAMB1,23385,17227,18438,13905,12358,22154,15941,17935,21833
SLC26A4,83,65,26,35,75,26,89,46,33
SLC26A3,6,3,3,3,6,1,2,3,2
DLD,20775,16456,12439,12421,11878,13284,14038,12705,10749
WDR7,4011,3492,2072,2368,2573,2411,2956,3018,1886
TXNL1,10151,8455,5098,6308,6759,5659,7278,6354,4604
IL5RA,1,0,0,0,0,0,0,0,2
ABCC6,139,119,33,73,70,32,81,126,35
CMTM6,34642,29525,12887,20721,20671,13893,25248,23602,12595
ITGA6,10364,7653,8740,5763,5807,11396,7062,5454,8976
RAPGEF4,29,16,5,20,26,15,31,25,12
MAP3K20,27679,25886,20243,16743,16444,20791,20723,21700,17596
SMPX,0,0,0,0,0,0,0,3,0
FH,6410,5842,3293,3910,4282,3711,4575,4329,2817
SEL1L3,5541,5267,4122,3575,3430,4445,4206,4292,3235
TF,12,1,9,5,9,7,7,13,1
CDV3,36355,33650,30385,22656,24572,33668,26847,23260,22251
MYO15A,30,6,5,16,12,9,11,18,7
ALKBH5,9754,8286,3587,6008,6421,4414,7124,7347,3678
APOH,0,3,3,2,0,1,0,0,2
NLRP1,3410,3049,2321,2158,2324,2717,2578,2704,2261
PITPNM3,823,734,665,484,556,682,566,719,638
SPAG7,3451,3017,1333,2070,2308,1547,2601,2572,1507
ORC6,4939,4498,1610,3250,3460,1925,3644,3605,1635
ZFHX4,2859,2664,1568,1772,1911,1661,2070,2120,1297
SLC17A6,0,0,0,0,0,0,0,0,0
CPA1,3,1,0,0,2,0,0,0,0
ZC3HC1,3152,2546,1674,2039,1936,2117,2249,2236,1782
ESR1,159,94,76,103,77,97,100,113,82
RGS17,1085,637,241,593,583,267,625,685,261
